PRIMARY_KEY,DATE,TIME,CONFIDENCE,IDENTITY,CLASSIFIED
"80975","2021-09-23","10:03:45","0.910079","1121","0",\N
"81657","2021-09-25","15:45:18","0.908862","159","0",\N
"138309","2021-10-25","09:01:01","0.949939","607","0",\N
"20403","2021-08-26","08:47:11","0.902382","675","0",\N
"18492","2021-08-26","08:13:14","0.953207","133","0",\N
"154085","2021-11-14","16:18:52","0.957569","1215","0",\N
"100519","2021-10-06","12:23:08","0.942957","1625","0",\N
"100282","2021-10-06","12:00:03","0.925482","1558","0",\N
"148131","2021-10-29","09:31:55","0.927165","334","0",\N
"31070","2021-08-29","16:48:45","0.998249","1391","0",\N
"147222","2021-10-25","17:03:41","0.939606","5362","0",\N
"79978","2021-09-23","09:01:50","0.96197","523","0",\N
"93667","2021-10-05","15:34:56","0.980038","1482","0",\N
"14497","2021-08-24","11:22:55","0.971706","2209","0",\N
"81623","2021-09-25","15:33:02","0.968898","98","0",\N
"57441","2021-09-21","08:26:42","0.916221","164","0",\N
"98720","2021-10-06","10:36:06","0.962556","899","0",\N
"127722","2021-10-15","17:27:34","0.910668","1084","0",\N
"74286","2021-09-21","16:26:30","0.978879","3955","0",\N
"90468","2021-10-05","11:40:31","0.984009","692","0",\N
"35681","2021-08-30","16:37:23","0.98678","217","0",\N
"66220","2021-09-21","11:39:37","0.954933","1655","0",\N
"28222","2021-08-29","13:28:52","0.978682","626","0",\N
"13578","2021-08-24","10:29:08","0.955665","1667","0",\N
"148687","2021-10-29","09:43:47","0.993921","499","0",\N
"84367","2021-09-30","17:59:15","0.978331","491","0",\N
"136821","2021-10-25","08:20:36","0.945621","169","0",\N
"62390","2021-09-21","10:12:46","0.992986","799","0",\N
"121795","2021-10-14","17:19:03","0.934274","1949","0",\N
"73657","2021-09-21","15:24:39","0.953392","3786","0",\N
"142879","2021-10-25","11:03:49","0.948548","2737","0",\N
"6247","2021-08-24","08:50:57","0.973962","642","0",\N
"14527","2021-08-24","11:25:05","0.976908","2230","0",\N
"127060","2021-10-15","17:16:34","0.936761","1084","0",\N
"52748","2021-09-19","15:16:46","0.926677","569","0",\N
"101761","2021-10-06","14:43:49","0.958155","2128","0",\N
"61279","2021-09-21","09:51:43","0.918413","521","0",\N
"79047","2021-09-23","08:21:17","0.97485","233","0",\N
"9015","2021-08-24","09:19:32","0.960067","1013","0",\N
"36264","2021-08-30","17:22:08","0.991827","590","0",\N
"27531","2021-08-29","13:12:48","0.96663","524","0",\N
"29812","2021-08-29","14:57:11","0.937771","855","0",\N
"16394","2021-08-25","17:51:54","0.949414","214","0",\N
"87376","2021-10-04","17:17:05","0.906336","623","0",\N
"114148","2021-10-14","09:21:06","0.942349","192","0",\N
"139425","2021-10-25","09:18:04","0.952838","965","0",\N
"98051","2021-10-06","10:18:22","0.921919","717","0",\N
"88428","2021-10-05","08:15:50","0.901521","96","0",\N
"127672","2021-10-15","17:26:22","0.955181","1084","0",\N
"100261","2021-10-06","11:59:51","0.994432","1558","0",\N
"115354","2021-10-14","11:57:51","0.973475","584","0",\N
"145623","2021-10-25","15:24:11","0.94014","4410","0",\N
"134121","2021-10-23","15:02:52","0.918363","79","0",\N
"97539","2021-10-06","09:54:04","0.936177","487","0",\N
"101199","2021-10-06","13:34:18","0.967646","1938","0",\N
"130956","2021-10-22","10:50:09","0.90623","241","0",\N
"137193","2021-10-25","08:46:03","0.985162","395","0",\N
"65572","2021-09-21","11:19:40","0.985828","1533","0",\N
"37381","2021-09-01","10:05:03","0.935327","571","0",\N
"160666","2021-12-07","11:33:35","0.957449","1130","0",\N
"89046","2021-10-05","09:18:19","0.915519","315","0",\N
"35561","2021-08-30","16:36:22","0.918667","233","0",\N
"160298","2021-12-07","07:50:06","0.907325","577","0",\N
"27226","2021-08-29","13:08:49","0.930346","529","0",\N
"157542","2021-12-05","16:18:52","0.979945","2968","0",\N
"120243","2021-10-14","15:24:01","0.962283","1557","0",\N
"16343","2021-08-25","17:35:14","0.993248","27","0",\N
"44957","2021-09-02","08:43:24","0.916714","452","0",\N
"84178","2021-09-30","16:27:47","0.960063","439","0",\N
"40789","2021-09-01","12:27:05","0.929984","1840","0",\N
"684","2021-08-23","18:18:38","0.996892","226","0",\N
"96057","2021-10-05","18:00:18","0.980964","2171","0",\N
"99945","2021-10-06","11:44:08","0.930561","1400","0",\N
"41621","2021-09-01","13:30:58","0.928258","2329","0",\N
"69210","2021-09-21","12:58:54","0.993021","2562","0",\N
"119688","2021-10-14","15:02:09","0.958999","1481","0",\N
"4347","2021-08-24","08:17:18","0.982071","37","0",\N
"142129","2021-10-25","10:51:38","0.957366","2293","0",\N
"33592","2021-08-30","08:25:50","0.988241","363","0",\N
"62100","2021-09-21","10:08:01","0.981591","726","0",\N
"3343","2021-08-24","07:53:56","0.902862","298","0",\N
"52988","2021-09-19","15:33:00","0.966234","659","0",\N
"3058","2021-08-24","07:50:59","0.997585","132","0",\N
"41398","2021-09-01","13:24:10","0.992938","2253","0",\N
"39088","2021-09-01","10:44:03","0.958203","1092","0",\N
"61868","2021-09-21","10:04:10","0.993002","724","0",\N
"60169","2021-09-21","09:29:24","0.922002","390","0",\N
"87686","2021-10-04","18:08:19","0.966708","825","0",\N
"42189","2021-09-01","13:52:07","0.962073","2559","0",\N
"19670","2021-08-26","08:37:15","0.972067","547","0",\N
"97801","2021-10-06","10:14:07","0.964588","657","0",\N
"30454","2021-08-29","16:18:42","0.9543","1110","0",\N
"2506","2021-08-24","07:44:20","0.970879","94","0",\N
"31226","2021-08-29","17:25:50","0.981383","1669","0",\N
"34133","2021-08-30","08:46:02","0.953701","602","0",\N
"29039","2021-08-29","14:36:04","0.910222","800","0",\N
"125639","2021-10-15","15:46:29","0.985627","841","0",\N
"2669","2021-08-24","07:46:10","0.987916","108","0",\N
"51082","2021-09-18","17:58:27","0.998429","929","0",\N
"146650","2021-10-25","16:32:13","0.923383","5055","0",\N
"159090","2021-12-06","11:27:26","0.927053","3025","0",\N
"99421","2021-10-06","11:29:31","0.952263","1301","0",\N
"21742","2021-08-26","09:17:56","0.977019","1099","0",\N
"92339","2021-10-05","14:15:09","0.918362","1085","0",\N
"38116","2021-09-01","10:31:30","0.916737","931","0",\N
"151329","2021-11-02","12:13:23","0.975103","412","0",\N
"11202","2021-08-24","09:56:40","0.970267","1408","0",\N
"16350","2021-08-25","17:35:23","0.98091","27","0",\N
"150668","2021-11-02","09:17:00","0.980741","23","0",\N
"149136","2021-10-29","09:55:45","0.98561","656","0",\N
"51397","2021-09-18","18:26:34","0.979564","969","0",\N
"97846","2021-10-06","10:14:44","0.978896","659","0",\N
"45034","2021-09-02","08:44:51","0.990958","486","0",\N
"154088","2021-11-14","16:19:06","0.997914","1215","0",\N
"95906","2021-10-05","17:28:18","0.908168","2112","0",\N
"73873","2021-09-21","15:38:45","0.919932","3813","0",\N
"58649","2021-09-21","09:02:14","0.927193","233","0",\N
"78631","2021-09-22","17:51:55","0.908634","396","0",\N
"119211","2021-10-14","14:16:12","0.966882","1349","0",\N
"122877","2021-10-15","13:19:19","0.94715","51","0",\N
"51013","2021-09-18","17:23:49","0.935495","904","0",\N
"43072","2021-09-01","14:49:32","0.944395","2822","0",\N
